Date,SydneyCEAQI,SydneyNWAQI
01/07/2015,99,92
02/07/2015,32,44
03/07/2015,70,82
04/07/2015,74,96
05/07/2015,95,100
06/07/2015,71,98
07/07/2015,31,65
08/07/2015,58,71
09/07/2015,108,74
10/07/2015,82,67
11/07/2015,57,54
12/07/2015,35,35
13/07/2015,31,34
14/07/2015,31,35
15/07/2015,38,33
16/07/2015,45,33
17/07/2015,30,50
18/07/2015,34,42
19/07/2015,37,47
20/07/2015,37,67
21/07/2015,47,54
22/07/2015,63,39
23/07/2015,45,40
24/07/2015,53,56
25/07/2015,36,38
26/07/2015,36,37
27/07/2015,36,37
28/07/2015,40,58
29/07/2015,41,59
30/07/2015,48,57
31/07/2015,34,46
